Sentence,Entity_1,Entity_2
The book is right of the lamp.,The book,the lamp
A cat is right of the chair.,A cat,the chair
The phone is right of the computer.,The phone,the computer
A bottle is right of the glass.,A bottle,the glass
The tree is right of the house.,The tree,the house
A pen is right of the notebook.,A pen,the notebook
The car is right of the bicycle.,The car,the bicycle
A dog is right of the fence.,A dog,the fence
The cup is right of the plate.,The cup,the plate
A plant is right of the window.,A plant,the window
The pillow is right of the bed.,The pillow,the bed
A clock is right of the painting.,A clock,the painting
The television is right of the sofa.,The television,the sofa
A key is right of the door.,A key,the door
The shoe is right of the rug.,The shoe,the rug
A camera is right of the laptop.,A camera,the laptop
The light is right of the switch.,The light,the switch
A mug is right of the kettle.,A mug,the kettle
The chair is right of the table.,The chair,the table
A spoon is right of the fork.,A spoon,the fork
